Data;Fechamento;Abertura;Maxima;Minima;Var%
23092002;2914.25;3063.44;3106.09;2890.30;-4.94%
24092002;2873.21;2913.16;2959.49;2774.36;-1.41%
25092002;2962.50;2872.98;2979.60;2806.83;3.11%
26092002;3020.60;2963.12;3058.87;2932.85;1.96%
27092002;2918.90;3020.71;3050.77;2888.45;-3.37%
30092002;2769.03;2906.60;2906.60;2719.49;-5.13%
01102002;2865.23;2772.96;2894.93;2729.57;3.47%
02102002;2926.74;2866.26;2974.34;2817.36;2.15%
03102002;2813.30;2923.55;2939.69;2809.84;-3.88%
04102002;2714.62;2812.15;2847.42;2677.61;-3.51%
07102002;2667.39;2710.33;2710.33;2621.86;-1.74%
08102002;2622.09;2679.02;2723.37;2542.65;-1.70%
09102002;2597.88;2617.54;2620.00;2519.30;-0.92%
10102002;2733.19;2593.26;2733.19;2548.40;5.21%
11102002;2930.74;2731.84;2930.74;2714.41;7.23%
14102002;2850.11;2928.63;2928.63;2793.93;-2.75%
15102002;3048.27;2856.58;3048.27;2856.58;6.95%
16102002;3008.93;3038.18;3106.29;2966.44;-1.29%
17102002;3172.46;3021.74;3187.27;3018.09;5.43%
18102002;3163.67;3172.34;3226.25;3083.46;-0.28%
21102002;3282.67;3151.94;3282.67;3096.12;3.76%
22102002;3155.97;3269.80;3299.01;3141.60;-3.86%
23102002;3015.42;3164.58;3232.98;2983.64;-4.45%
24102002;3090.01;3027.36;3129.57;3020.05;2.47%
25102002;3102.01;3089.71;3119.71;3018.74;0.39%
28102002;3198.96;3105.29;3235.66;3105.29;3.13%
29102002;3022.01;3188.72;3188.72;3010.74;-5.53%
30102002;3113.59;3024.90;3140.39;2999.60;3.03%
31102002;3152.85;3115.76;3216.27;3086.62;1.26%
01112002;3165.16;3152.19;3174.01;3056.22;0.39%
04112002;3327.94;3167.49;3330.94;3167.49;5.14%
05112002;3351.32;3318.17;3395.53;3268.13;0.70%
06112002;3298.84;3356.06;3443.49;3280.90;-1.57%
07112002;3155.66;3298.51;3334.51;3130.44;-4.34%
08112002;3079.10;3157.91;3174.39;3072.81;-2.43%
11112002;3042.06;3076.25;3076.25;3005.43;-1.20%
12112002;3115.88;3040.14;3129.66;3024.97;2.43%
13112002;3066.42;3096.70;3121.32;2987.85;-1.59%
14112002;3188.39;3063.30;3191.67;3035.72;3.98%
15112002;3191.76;3195.99;3232.07;3151.61;0.11%
18112002;3218.36;3195.97;3262.08;3185.06;0.83%
19112002;3206.93;3205.76;3221.98;3144.78;-0.36%
20112002;3212.99;3210.22;3224.78;3117.02;0.19%
21112002;3304.63;3216.54;3304.83;3216.54;2.85%
22112002;3320.88;3302.68;3337.34;3278.00;0.49%
25112002;3299.24;3322.78;3365.59;3278.59;-0.65%
26112002;3191.63;3299.61;3333.53;3183.30;-3.26%
27112002;3346.14;3184.47;3346.14;3148.94;4.84%
28112002;3360.76;3342.58;3376.99;3305.44;0.44%
29112002;3320.32;3361.06;3403.40;3320.32;-1.20%
02122002;3380.20;3332.73;3476.83;3332.73;1.80%
03122002;3280.49;3389.13;3410.95;3278.63;-2.95%
04122002;3320.75;3275.80;3331.14;3235.58;1.23%
05122002;3224.74;3327.75;3386.27;3189.12;-2.89%
06122002;3207.53;3221.68;3245.76;3108.76;-0.53%
09122002;3065.57;3206.36;3223.42;3065.57;-4.43%
10122002;3167.99;3062.87;3173.96;3062.87;3.34%
11122002;3196.05;3166.46;3212.62;3134.37;0.89%
12122002;3111.88;3193.59;3208.59;3098.26;-2.63%
13122002;3077.06;3110.79;3122.53;3034.12;-1.12%
16122002;3205.29;3074.51;3205.29;3029.74;4.17%
17122002;3139.97;3209.65;3222.40;3136.09;-2.04%
18122002;3022.69;3136.04;3136.04;3022.69;-3.74%
19122002;2961.41;3031.98;3099.32;2925.87;-2.03%
20122002;3024.22;2970.28;3039.12;2948.56;2.12%
23122002;3000.84;3022.31;3048.29;2961.78;-0.77%
27122002;2840.00;2996.67;2996.67;2840.00;-5.36%
30122002;2892.63;2838.87;2900.95;2836.01;1.85%
02012003;3105.04;2898.68;3105.04;2898.68;7.34%
03012003;3092.94;3098.89;3124.86;3070.03;-0.39%
06012003;3157.25;3101.17;3157.25;3033.77;2.08%
07012003;3112.77;3156.56;3156.56;3069.11;-1.41%
08012003;2993.00;3108.02;3108.02;2993.00;-3.85%
09012003;3037.68;3000.24;3043.64;2932.93;1.49%
10012003;3037.33;3037.80;3093.78;2986.75;-0.01%
13012003;3060.65;3039.91;3127.12;3039.91;0.77%
14012003;3098.72;3063.49;3141.33;3055.29;1.24%
15012003;3049.40;3107.61;3145.66;3036.94;-1.59%
16012003;3054.11;3047.24;3080.27;3023.32;0.15%
17012003;2918.82;3047.11;3047.11;2918.26;-4.43%
20012003;2893.55;2927.58;2966.78;2892.93;-0.87%
21012003;2870.57;2900.88;2955.75;2860.34;-0.79%
22012003;2803.25;2866.35;2897.48;2765.56;-2.35%
23012003;2811.22;2804.13;2862.59;2776.72;0.28%
24012003;2717.82;2813.13;2827.43;2714.89;-3.32%
27012003;2643.80;2716.42;2728.28;2615.67;-2.72%
28012003;2671.36;2649.96;2705.22;2616.04;1.04%
29012003;2706.57;2667.69;2743.10;2563.92;1.32%
30012003;2693.78;2711.84;2742.92;2665.52;-0.47%
31012003;2747.83;2687.72;2753.26;2622.41;2.01%
03022003;2751.99;2750.40;2802.93;2735.58;0.15%
04022003;2632.98;2750.04;2750.04;2618.14;-4.32%
05022003;2725.88;2626.85;2738.11;2584.88;3.53%
06022003;2649.00;2714.12;2720.18;2617.66;-2.82%
07022003;2569.34;2649.02;2671.70;2561.73;-3.01%
10022003;2586.09;2573.26;2593.00;2528.90;0.65%
11022003;2627.00;2593.15;2664.16;2584.68;1.58%
12022003;2571.25;2621.45;2621.45;2565.02;-2.12%
13022003;2555.27;2566.95;2599.44;2535.04;-0.62%
14022003;2674.46;2558.25;2711.59;2558.25;4.66%
17022003;2708.97;2683.48;2722.30;2679.95;1.29%
18022003;2740.14;2707.57;2750.08;2673.91;1.15%
19022003;2624.65;2734.81;2734.81;2616.91;-4.21%
20022003;2591.26;2631.48;2669.49;2575.95;-1.27%
21022003;2648.87;2591.68;2648.87;2565.14;2.22%
24022003;2571.35;2648.49;2648.55;2571.35;-2.93%
25022003;2485.50;2563.37;2563.37;2448.98;-3.34%
26022003;2450.20;2488.92;2518.85;2433.15;-1.42%
27022003;2513.22;2453.34;2513.41;2435.64;2.57%
28022003;2547.05;2508.89;2581.48;2480.72;1.35%
03032003;2549.65;2553.74;2600.76;2535.30;0.10%
04032003;2501.03;2541.81;2541.81;2477.06;-1.91%
05032003;2498.02;2495.46;2540.06;2456.40;-0.12%
06032003;2437.51;2500.64;2531.63;2433.32;-2.42%
07032003;2431.66;2433.72;2467.57;2393.59;-0.24%
10032003;2329.04;2437.32;2447.98;2328.81;-4.22%
11032003;2305.30;2324.01;2348.08;2258.57;-1.02%
12032003;2202.96;2300.11;2319.65;2188.75;-4.44%
13032003;2354.31;2203.97;2354.31;2203.97;6.87%
14032003;2403.19;2356.36;2482.14;2356.36;2.08%
17032003;2487.12;2398.11;2520.54;2327.87;3.49%
18032003;2584.61;2490.78;2624.98;2490.78;3.92%
19032003;2615.22;2576.96;2675.02;2524.52;1.18%
20032003;2604.85;2607.76;2657.50;2551.91;-0.40%
21032003;2715.06;2607.70;2731.57;2603.85;4.23%
24032003;2548.37;2712.62;2712.62;2548.37;-6.14%
25032003;2636.10;2541.79;2636.72;2481.71;3.44%
26032003;2579.33;2634.89;2680.53;2579.33;-2.15%
27032003;2584.05;2583.27;2589.68;2511.96;0.18%
28032003;2520.84;2580.96;2581.65;2498.29;-2.45%
31032003;2423.87;2511.99;2511.99;2396.60;-3.85%
01042003;2450.19;2426.24;2473.94;2395.72;1.09%
02042003;2589.35;2462.21;2589.35;2462.21;5.68%
03042003;2569.81;2582.95;2644.96;2557.19;-0.75%
04042003;2654.07;2573.16;2656.25;2553.67;3.28%
07042003;2808.94;2654.76;2814.39;2654.44;5.84%
